A023,GIDDINGS & LEWIS,A08
A060,MAZAK,G26
A062,OKUMA     ,G27
A067,EX-CELL-O                      (I097A),A22
A067-a,KOELINSTALLATIE - BKW,A22
A068,SCHARMANN                     (I097B),A24
A068-a,KOELINSTALLATIE - SCHIMPKE,A24
A069,SCHARMANN                     (I104),A23
A069-a,KOELINSTALLATIE - HYFRA,A23
A069-b,KOELINTALLATIE - SCHIMPKE,A23
A070,SCHARMANN                     (I114),A45
A070-a,KOELINSTALLATIE - HYFRA,A45
A070-b,KOELINSTALLATIE - SCHIMPKE,A45
A072,HECKERT                        (I221),A48
A072-a,KOELINSTALLATIE - HYFRA,A48
A073,HECKERT                        (I221),A34
A073-a,KOELINSTALLATIE - HYFRA,A34
B003,GM 2 boormachine,F25
B004,ARBOGA boormachine,A30
B013,GM boormachine,D04
B016,MATHEYS boormachine,D02
B017,VALMER boormachine,D01
B031,OTTO MULLER boormachine,D04
B032,OTTO MULLER boormachine,A35
B033,OTTO MULLER boormachine,A10
B034,OTTO MULLER boormachine,A54
B035,OTTO MULLER boormachine,G01
B039,MAS,A08
B041,GSP,G11
B042,DONAU,A42
B045,DONAU,G23
B080,OKUMA,A46
B081,OKUMA,A42
B082,MAS ,G38
B083,OKUMA,A16
B084,OKUMA,A40
B086,CINCINNATI,A39
B087,MAZAK,G46
D015,AMC,D02
D039,VDF,G20
D042,VDF,A39
D043,IKEGAI,D02
D052,SCHAERER,A39
D058,STANKO,G52
D068,OKUMA Rechts (ex D073)                        (I106),G37
D069,OKUMA Links  (ex D073)                        (I106),G35
D071,DÖRRIES-SCHARMANN,G45
D072,DÖRRIES-SCHARMANN,G42
D074,OKUMA                        (I108),A42
D075,DÖRRIES-SCHARMANN (I220),A25
D075-a,KOELINSTALLATIE - SCHIMPKE,A25
D076,DÖRRIES                        (I094),F03
D077,HESSAPP,G13
D081,MAZAK                         (I217),G21
D082,BOEHRINGER  VDF,G21
D083,FMS (Amber),G051
D085,BOEHRINGER  (Amber),G51
D090,MAZAK                         (I110),A41
D091,MORI SEIKI,G25
D092,BOEHRINGER  VDF,G14
D093,BOEHRINGER  VDF                           (I097C),F00
D096,OKUMA                         (I111),A41
D097,BOEHRINGER  VDF                           (I098),G25
E001,Alternator MARKON,
E002,Aansluitborden,
E003,Alternator MARKON,
E006,Voeding PHILIPS,D15
E007,Voeding PHILIPS,D15
E008,Noodvoeding POWER WARE        (Voor computer),
E009,CUMMINS noodgenerator,A11
E050,MS post L. da Vincilaan,
E051,MS schakelpost in hal RT,F12
E052,MS transfo in hal RT,F12
E053,MS transfo in oven,E14
E054,MS post Boerenlegerstraat,
E055,MS transfo in hal CD,A30
E058,MS transfo in testafdeling,D12
E059,MS transfo in testafdeling,D13
E060,IDETRON energiebeheer,
E061,MS transfo in testafdeling,D13
F003,HECKERT,A54
F005,HURON,D04
F006,TOS,D04
F007,TOS,E13
F066,SCHWABISCHE WERKZEUGMACHINE,G18
F067,UNISIGN,G25
F068,UNISIGN,G18
F093,PFAUTER,G11
F093-a,KOELINSTALLATIE - Lahntechnik,G11
F094,PFAUTER,G26
F094-a,KOELINSTALLATIE - BKW,G26
F096,PFAUTER,G41
F097,PFAUTER,G37
F097-a,KOELINSTALLATIE - BKW,G37
F098,PFAUTER,G10
F098-a,KOELINSTALLATIE - Lahntechnik,
F099,PFAUTER,G08
F099-a,KOELINSTALLATIE - BKW,G08
G011,KLINGELNBERG,G12
G011-a,KOELINSTALLATIE BKW,
G051,CUTTER TRUING DEVICE GLEASON (gereedschapstelmachine),F07
G053,HYPOID CUTTER SHARPENER,F07
G071,KLINGELNBERG,F04
G071-a,KOELINSTALLATIE - HOFFMANN,F04
G072,KLINGELNBERG,F05
HB001,REMALIFT 3000kg,
HB002,-V- 5000kg,
HD001,DRAAIARM 250kg,A38A39
HD002,DRAAIARM 250kg,A40A41
HD003,DRAAIARM 250kg,A41
HD005,DRAAIARM 250kg,A38A39
HD008,DRAAIARM 500kg,D05
HD009,DRAAIARM 250kg,D02
HD010,DRAAIARM 250kg,D02
HD011,DRAAIARM 500kg,D03
HD012,DRAAIARM 500kg,F07
HD013,DRAAIARM 250kg,D02
HD014,DRAAIARM 500kg,D03
HD015,DRAAIARM 500kg,G00
HD017,DRAAIARM 250kg              -TBD-,G48
HD018,DRAAIARM 500kg,F27
HD019,DRAAIARM 250kg,D05
HD021,1000 kg Demag,A55
HD022,DRAAIARM 1000kg Demag,A54
HD023,250 kg Demag,A43
HD024,500kg,CO1
HD025,500kg,C01
HD027,DRAAIARM 125 kg,G52
HD028,250 kg Demag,A42
HD029,500 kg,G58
HD030,500 kg,F25
HD031,500 kg,F19
HD032,DRAAIARM 1000kg,C01
HD033,500 kg,F35
HD034,500 kg,F32
HD035,500 kg,F26
HD040,500kg,F18
HD104,250 kg,B26
HD113,500 kg Demag,A28
HD115,500 kg,B04
HD116,500 kg,F04
HD118,500 kg,G38
HD119,500 kg,F07
HD160,500 kg                        ,F26
HD161,1.000 kg,G09
HD163,1.000 kg,E05
HD164,1.000 kg,G06
HD165,250 kg,X02
HD170,1.000 kg,G15
HD175,250 kg,G04
HD176,250 kg,G14
HD177,500 kg,F05
HD178,500 kg,F16
HD179,Reserve,G17
HD180,500 kg,F21
HD181,500 kg,F20
HD183,500 kg,G49
HD185,500 kg,G39
HD186,500 kg,F27
HD187,125 kg,E03
HD188,500 kg,F22
HD189,250 kg,G34
HD190,500 kg,F15
HD191,500 kg,X02
HD192,500 kg,F06
HD197,500 kg,F14
HD199,500 kg,G36
HD200,250 kg,G37
HD201,250 kg,G13
HD202,500 kg,F16
HD205,500 kg,G21
HD207,1.000 kg,G07
HD209,500 kg,F18
HD210,500 kg,G22
HD211,500 kg                        ,G18
HD212,250 kg,G24
HD213,500 kg,C02
HD214,500 kg,X02
HD215,Reserve,F02
HD217,500 kg,G12
HD222,500 kg,G28
HD226,250 kg,G03
HD228,125 kg,G33
HD229,ABUS  Wandzwenkkraan 1000kg,A51
HD230,ABUS  Wandzwenkkraan 1000kg,A52
HD231,ABUS  Kolomzwenkkraan 500kg,G51
HD232,ABUS  Wandzwenkkraan 500kg,G51
HD233,ABUS  Wandzwenkkraan 500kg,F23
HD234,ABUS  Kolomzwenkkraan 1000kg,G02
HD235,ABUS  Kolomzwenkkraan 1000kg,F31
HD236,ABUS  Wandzwenkkraan 125kg,F03
HD237,ABUS  Wandzwenkkraan 125kg,G14
HD238,ABUS Kolomzwenkkraan 250kg,G26
HD239,ABUS  Kolomzwenkkraan 500kg,G10
HD240,ABUS  Kolomzwenkkraan 500kg,G27
HD241,ABUS  Kolomzwenkkraan 1000kg,G06
HD242,ABUS  Kolomzwenkkraan 1000kg,G37
HD245,ABUS Kolomzwenkkraan 125kg,A10
HD246,ABUS Kolomzwenkkraan 1000kg,B22
HD247,ABUS Kolomzwenkkraan 500kg,G05
HD248,630 kg,F00
HD249,ABUS Kolomzwenkkraan 80kg,E09
HD250,ABUS Wandzwenkkraan,G53
HD251,ABUS Kolomzwenkkraan 500kg,X02
HD252,500 kg,G55
HD253,Reserve,G27
HD254,125 kg,E07
HE004,TAKEL DEMAG 250kg              -TBD-,
HE005,Palan Demag 10000kg,B09/B33
HE006,Palan Demag 8000 kg,D13
HE007,TAKEL DEMAG 5000 kg,A14/A21
HE008,1000kg,C01
HE011,Takel Demag 8000kg,B04/B32
HE012,PALAN DEMAG 2500kg,B27
HE013,Palan Demag 2500kg,B26
HE014,Palan Demag 2500kg,B26
HE015,TAKEL DEMAG 8T,A33/A40
HE016,Palan Demag 5.000kg,A14A21
HE017,Palan Demag 5.000kg,G00/G48
HE019,250 kg,G14
HE020,500 kg,C01
HE021,5000kg Demag,G17/G23
HE022,500 kg,C01
HE023,TAKEL DEMAG 3 TON,A07/A09
HE024,TAKEL DEMAG 5T,G40G47
HE025,TAKEL DEMAG 5T,A50A56
HE026,3200kg DEMAG,C01
HE027,DEMAG 500 kg,F32
HE028,TAKEL DEMAG 8T,A25A39
HE029,TAKEL DEMAG 8T,A25A39
HE031,TAKEL DEMAG 5T,G49G53
HE032,TAKEL DEMAG 5T,G32/G39
HE033,TAKEL DEMAG 5T,G49G53
HE034,TAKEL DEMAG 8T,A29
HE035,2000kg DEMAG,X02
HE036,500 kg                 -NG-,F19
HE037,TAKEL DEMAG 25T,D12D14
HE038,5000kg Demag,X02
HE039,5.000 kg Demag,B03/B31
HE040,TAKEL DEMAG 5T,F32/F39
HE041,TAKEL DEMAG 5T,G32/G39
HE042,TAKEL DEMAG 10T,A50A56
HE043,TAKEL DEMAG 10T,G40G47
HE044,TAKEL DEMAG 10T,A50A56
HE045,5000  kg,A14A21
HE046,3.000 kg Demag,A14A21
HE047,5.000 kg Demag,B03/B31
HE048,2.000 kg                      -NG-,A05A13
HE049,5000 kg                       -NG-,X01X02
HE051,500kg,E14
HE052,TAKEL DEMAG 8T,B13/B35
HE053,TAKEL DEMAG 8T,D03/D05
HE055,500kg,F25
HE056,2000kg,G30/G24
HE057,25000 kg Demag,A50A56
HE059,Abus 5000kg,A13A20
HE060,500 kg,F27
HE061,8000kg DEMAG,E02E07
HE062,TAKEL DEMAG 250kg,A38A39
HE063,TAKEL DEMAG 250kg,A40A41
HE064,TAKEL DEMAG 250kg,A41
HE065,5000kg                        -NG-,X04
HE066,TAKEL DEMAG 250kg,A38A39
HE067,5.000 kg Demag,B01/B32
HE071,5000kg ABUS,E00E01
HE072,TAKEL DEMAG 16T,D06D11
HE073,TAKEL DEMAG 16T,D13
HE074,TAKEL DEMAG 125kg,G22
HE075,TAKEL DEMAG 500kg,D03D05
HE076,TAKEL DEMAG 250kg,D02D04
HE077,TAKEL DEMAG 250kg,D02D04
HE078,125 kg,E03
HE079,DEMAG 5000 kg,A42/A49
HE080,TAKEL DEMAG 25T,D06D11
HE081,DEMAG 12.5 Ton,A50A56
HE082,8000 kg Demag,A42/A49
HE083,8000 kg Demag,A42/A49
HE084,TAKEL 1000kg,G04
HE085,TAKEL 250kg                  -TBD-,G48
HE087,500 kg,G25
HE088,500 kg,G00
HE090,TAKEL 500kg,F18
HE092,TAKEL 1000kg                  -NG-,D06D08
HE093,TAKEL 250kg                   -NG-,F18
HE096,500 kg                          -TBD-,B22
HE097,8000kg Demag,A33/A40
HE098,250 kg,F26
HE099,500 kg                                ,G17
HE100,500 kg,B23
HE101,500 kg,B09
HE102,500 kg,G25
HE104,500 kg,G36
HE107,500 kg,F15
HE108,DEMAG 8T,E08/E15
HE109,DEMAG 8T,E08E13
HE110,DEMAG 8T,E00E03
HE112,500 kg,G15
HE113,500 kg,G28
HE114,250 kg,A43
HE115,500 kg                        -NG-,E11
HE118,5.000 kg  vvd HE244,B20B21
HE119,125 kg,G34
HE120,TAKEL 500 kg,F35
HE121,TAKEL 500 kg,F26
HE122,500 kg,F22
HE125,5000 kg Demag,A33/A40
HE126,1.000 kg,B14B15
HE127,1.000 kg Demag,A07/A09
HE128,1.000 kg,B15B17
HE129,500 kg,D3D5
HE130,500 kg,F14
HE131,DEMAG 500 kg                  ,G40G47
HE133,125 kg                        ,F06
HE135,250 kg,G31
HE136,TAKEL 250 kg,D02D04
HE138,1.000 kg,A54
HE139,5.000 kg  ABUS,A12
HE140,5.000 kg,X01X04
HE142,250 kg,B26
HE150,3.200 kg,A14A21
HE151,TAKEL  3.2T      -TBD-,
HE152,TAKEL  2.5T,F29F30
HE153,TAKEL  5T Demag,E08/E17
HE156,400 kg,D12
HE157,500 kg                        -NG-,D13
HE158,10.000 kg Demag,B09/B33
HE163,5.000 kg,G00/G48
HE165,TAKEL 250 kg,Atlas
HE166,250 kg,G24
HE168,500kg                        terug in dienst 2/2006,G49
HE169,1.000 kg,G10
HE170,1.000 kg,G11
HE171,1.000 kg,E00
HE172,1.000 kg                      -NG-,F04
HE173,1.000 kg                    In Atlas,
HE174,125 kg,A13
HE176,1.000 kg,A55
HE177,1.000 kg,G15
HE179,250 kg,G00
HE180,1.000 kg                      -NG-,E08
HE182,TAKEL 80kg,A01
HE184,6.000 kg Demag,X03X04
HE185,500 kg,B16
HE186,250 kg,F05
HE187,500 kg                        ,G18
HE188,250 kg,A43
HE189,500 kg,D03D05
HE190,5.000 kg,E08/E15
HE191,5.000 kg Demag,B11/B34
HE193,5.000 kg,F32F39
HE194,500 kg,G30
HE195,500 kg,F21
HE196,8000 kg Demag,B11/B34
HE197,8000 kg Demag,B11/B34
HE199,1.000 kg Demag,A22A28
HE200,TAKEL 500 kg,D03D05
HE202,500 kg,F15
HE204,500 kg,F09
HE205,250 kg,D5
HE206,500 kg                        -TBD-,A22A28
HE207,250 kg,Atlas
HE208,1.000 kg  Demag                   ,A22A28
HE209,1000kg,A22A28
HE210,1.000 kg,G06
HE211,500 kg                       ,G39
HE212,250 kg,G33
HE213,500 kg,G13
HE214,500 kg,F07
HE215,500 kg                    ,F25F26
HE216,"1,000 kg Demag",A22/A28
HE217,500 kg,G19
HE218,500 kg,G20
HE219,500 kg,G05
HE220,5OO kg,F20
HE221,500 kg,G21
HE222,250 kg                        -NG-,G37
HE223,250 kg,G29
HE224,500 kg,F07
HE225,500 kg,G33
HE226,500 kg,F13
HE227,250 kg,G27
HE230,"10,000 kg Demag",B35B13
HE231,8000kg Demag,A33A40
HE232,5000 kg Demag,A42/A49
HE233,TAKEL 500kg,G27
HE234,TAKEL 250kg,F27
HE235,ABUS 10000 kg,A31
HE236,KETTINGTAKEL 500kg,F32
HE237,ABUS  3200kg,B14/B17
HE238,ABUS  3200kg,B14/B17
HE239,ABUS  3200kg,B14/B17
HE240,ABUS  1000kg,
HE241,ABUS  1000kg,
HE242,ABUS  500kg,
HE243,ABUS  500kg,
HE244,ABUS  5000kg,B34/B11
HE245,ABUS  3200kg,A09/A07
HE246,ABUS  6300kg (staalmagazijn),X04
HE247,DEMAG 500kg,G04
HE248,TAKEL DEMAG 250kg,G03
HE249,DEMAG 2000kg,F31
HE250,ABUS  1000kg,F31
HE251,ABUS 125kg,D076 
HE252,ABUS 125kg,Cel kl/wi
HE253,ABUS 5000kg,B03/B53
HE254,ABUS 250kg,Cel kl/wi
HE255,ABUS 500kg,Cel kl/as
HE256,ABUS 500kg,Cel med/wi
HE257,ABUS 5000kg,D076 
HE258,ABUS  1000kg,F099
HE259,ABUS 125kg,R079
HE260,ABUS  1000kg,F097
HE261,ABUS  5000kg,G33/G39
HE262,ABUS,A064
HE263,ABUS 8000kg,B04B07
HE264,ABUS 8000kg,A13A20
HE265,ABUS 5000kg,B02/B29
HE266,ABUS 1000 kg,
HE267,ELEPHANT kettingtakel,
HE268,ABUS kettingtakel en loopkat,
HE269,ABUS kettingtakel en loopkat,
HE270,"ABUS kettingtakel en loopkat 1,000kg",G16/G17
HE271,ABUS kettingtakel en loopkat,D093
HE272,"ABUS 5,000kg",G17/G23
HE273,ABUS 80kg,
HE274,ABUS 125kg,
HE275,ABUS 8000kg,
HE276,ABUS 10000 kg,G54/G58
HE277,ABUS 6300 kg,F30/F29
HE278,ABUS 500 kg,
HE279,ABUS 10000 kg,G54/G58
HE280,ABUS 8000 kg,G54/G58
HE281,ABUS 16000 kg,X01
HE282,ABUS 5000 kg,B01/B32
HE283,ABUS 8000 kg,B01/B33
HE284,ABUS 8000 kg,B09/B33
HE285,ABUS 10000 kg,B09/B34
HE286,ABUS 10000 kg,B11/B34
HP001,DEMAG 1.25 T,
HP002,DEMAG 1.25 T,
HP003,DEMAG 1.25 T,
HP004,DEMAG 1.25 T,
HP005,CAMLOK 1.5 T,
HP007,CAMLOK 3 T,
HP008,CAMLOK 5 T,
HP009,DEMAG 1.5 T,
HP010,DEMAG 1.5 T,
HP011,DEMAG 1.5 T,
HP012,DEMAG 1.5 T,
HP013,GOLIATH 2 T,
HP014,GOLIATH 2 T,
HP015,TERRIER 1.5 T,
HP016,CAMLOK 2 T,
HP017,CAMLOK 1 T,
HP020,CAMLOK 2 T,
HP021,CAMLOK 4 T,
HR001,3200kg,C01
HR002,ROLBRUG DEMAG 8T,A33A35
HR003,2000kg DEMAG,X01X02
HR004,2500kg - Jamach,B27
HR005,2500kg - Jamach,B26
HR006,2500kg - Jamach,B26
HR007,ROLBRUG 10.000kg - Jamach,B08B09
HR008,Rolbrug Demag 5.000kg,A14A21
HR009,Rolbrug Demag 8000kg,D13
HR010,Rolbrug Demag 5.000kg,G00G07
HR011,5000kg,X01X02
HR014,TAKEL DEMAG 5000 kg,G16G23
HR015,ROLBRUG DEMAG 5T,G40G47
HR016,ROLBRUG DEMAG 5T,A50A56
HR017,ROLBRUG DEMAG 8T,E02E07
HR018,ROLBRUG DEMAG 3 TON,A07A11
HR019,ROLBRUG DEMAG 8T,A25A39
HR020,ROLBRUG DEMAG 8T,A25A39
HR023,ROLBRUG DEMAG 5T,F30F37
HR024,ROLBRUG DEMAG 5T,G32G38
HR025,ROLBRUG DEMAG 10T,A50A56
HR026,ROLBRUG DEMAG 10T,F30F37
HR027,ROLBRUG DEMAG 10T,A50A56
HR028,ROLBRUG JAMACH 5T,G51G53
HR029,ROLBRUG JAMACH 5T,G32G38
HR030,ROLBRUG JAMACH 5T,G49G53
HR031,ROLBRUG DEMAG 8T,A29
HR032,ROLBRUG DEMAG 25T,D12D14
HR033,ROLBRUG DEMAG 125kg,A01
HR034,ROLBRUG DEMAG 8T,B18B35
HR035,ROLBRUG DEMAG 8T,D02D05
HR036,DEMAG 5000 kg,A42A46
HR037,25000kg,A50A56
HR038,DEMAG 12.5T,A50A56
HR039,DEMAG 8T,A49A47
HR040,DEMAG 8T,B24B25
HR041,DEMAG 8T,A49A47
HR042,DEMAG 8T,A33A35
HR043,DEMAG 5T,A36A40
HR044,ROLBRUG DEMAG 16T,D06D11
HR045,ROLBRUG DEMAG 16T,D13
HR046,ROLBRUG DEMAG 25T,D06D11
HR052,2000  kg                      ,A22A28
HR057,8.000 kg,B22B23
HR060,5.000 kg,B24B25
HR062,5.000 kg,B04B07
HR065,DEMAG 8T,B10B21
HR069,5.000 kg,B26B27
HR070,VDB  3.2T,F31
HR071,VDB  2.5T,F29F30
HR072,VDB  5T,F29F30
HR073,DEMAG 8T,E10E15
HR074,DEMAG 8T,E08E13
HR075,DEMAG 8T,E00E03
HR078,5.000 kg,A20A13
HR081,5.000 kg,B20B21
HR086,3.000 kg,A14A21
HR097,500 kg                        -TBD-,A22A28
HR122,8.000 kg,B10B11
HR150,VB 10000kg,B22B23
HR158,VB 5000kg,E00E01
HR159,VB 5000kg,E08E17
HR174,5.000 kg,E08E17
HR184,5.000 kg,F32F36
HR200,1.000 kg,A22A28
HR205,1.000 kg,A07A11
HR223,ROSENGARDE 5000kg,F12
HR224,ROSENGARDE 6300kg,X03X04
HR225,ROSENGARDE 5000kg,A14A21
HR228,DEMAG 16T,B35B13
HR229,8000 kg,A33A40
HR230,5000 kg,A42A46
HR231,ABUS 10T,A31
HR232,DEMAG 500kg,F32
HR233,"ABUS 3,2T ",B13B18
HR234,"ABUS 3,2T  ",B13B18
HR235,"ABUS 3,2T  ",B13B18
HR236,"ABUS 3,2T",A13
HR237,ABUS 6.3T (staalmagazijn),X04
HR238,ABUS 5T (waskabine),
HR239,ABUS Rolbrug 5000kg,
HR241,ABUS Rolbrug 8000kg,A13A20
HR243,ABUS Rolbrug 1000kg,G17
HR244,ABUS Rolbrug 5000kg,F06/G52
HR245,ABUS Rolbrug 8000kg,B13/B18
HR246,ABUS Rolbrug 10000 kg,G54/G58
HR247,ABUS Rolbrug 6300 kg,F28/F30
HR248,ABUS 6000 kg,G54/G58
HR249,ABUS 10000 kg,G54/G58
HR250,ABUS 8000 kg,G54/G58
HR251,ABUS 16000 kg,X01
HR252,ABUS 5000 kg,B01/B32
HR253,ABUS 8000 kg,B01/B33
HR254,ABUS 8000 kg,B09/B33
HR255,ABUS 10000 kg,B09/B34
HR256,ABUS 10000 kg,B11/B34
HS001,SIEGERT(R002),G17
HS002,SIEGERT(D041),G23
HS003,SIEGERT(R002),G17
HS004,SIEGERT(D040),G21
HS005,SIEGERT(D041),G23
HS006,SIEGERT(R010),G16
HS007,SIEGERT(F065),G19
HS008,TOPAL,
HT001,TIRFOR 1000kg,
HT002,TIRFOR 3000kg,
HT003,RILLEY 2000kg,
HT004,RILLEY 2000kg,
HT005,RILLEY 2000kg,
HT006,REMA 3000kg,
HT007,REMA 3000kg,
HT008,CM 1500kg,
HT009,CM 1500kg,
HT010,CM 750kg,
I001,SCHLICK Straalmachine,E00
I003,KARCHER,G48
I004,KARCHER,
I005,LABOREX waskabine,C001
I006,KARCHER,
I008,KARCHER,D03
I009,KARCHER,D03
I010,Wascabine SEMMELROTH,B03
I011,WASKABINE KERMAD 8t,E01
I013,LABOREX waskabine RT,F27
I020,FILTERWAGEN,SME
I025,WIELAND stofzuiger,A06
I026,VEEGMACHINE DULEVO,A42
I028,DELTA NEW,
I030,NILFISK,D03
I031,NILFISK,A17
I032,NUMATIC stof- en waterzuiger,F00F05
I033,NUMATIC stof- en waterzuiger,A36
I034,NILFISK,X00
I035,DELTA NEW,D04
I036,VENTILATOR SUPER COBRA,
I037,NILFISK,X00
I038,NILFISK,A27
I039,WIRBEL,A30
I040,WIRBEL,A14
I041,WIRBEL,
I042,WIRBEL,
I043,NILFISK Shampoo,
I044,NILFISK,
I045,NILFISK,B27
I046,NILFISK,B02
I047,NILFISK,B20
I049,NILFISK,
I050,NILFISK,
I051,NILFISK,
I052,NILFISK,B18
I053,NILFISK,
I054,FLOORPULL stof-en waterzuiger,
I055,FLOORPULL stof- en waterzuiger,
I056,TOSEL stof- en waterzuiger,
I057,TOSEL stof- en waterzuiger,F14
I058,TOSEL stof- en waterzuiger,
I059,TOSEL stof-en waterzuiger,
I060,CITIN schrob-en boenmachine,A42
I061,SOFRAPER  spaan-en vloeistof- zuiger,
I062,MATZEK  zuigwagen,
I063,TOSEL stof- en waterzuiger,
I065,FLOORPULL  stof-en waterzuiger,
I066,TOSEL  stof-en waterzuiger,B04
I067,MATZEK  zuigwagen,D15
I068,TOSEL  stof-en waterzuiger,B04
I070,PFK,A..
I071,PFK,A02
I072,PFK,B07
I073,PFK,A..
I074,PFK,F38
I081,PLYMOTH  lasdampafzuiger,D07
I082,ELOSTA  luchtreiniger,F10
I083,WELDEX  luchtfilter,A29
I084,CORAL  stofafzuiging,D04
I085,TRION  luchtreiniger,F15
I086,WELDEX  ventilator,B06
I087a,TEPCON luchtfilter,D07
I087b,TEPVON luchtfilter,D07
I088,ELOSTA  luchtreiniger,F14
I089,TRION  luchtreiniger                                             ( R080),G14
I090,FILTERMIST,
I090a,FILTERMIST,G20
I090b,FILTERMIST,A14
I090c,FILTERMIST,G21
I090e,FILTERMIST   (D091),G25
I091,ALFA SYSTEM afzuiginstallatie,A..
I092,MOLTER  olienevelafzuiger,G13
I093,MOLTER olienevelafzuiger,A17
I094,DONALDSON olienevelafzuiger   (D076),G05
I095,Afzuiginstallatie keuken,D13
I096,NEDERMAN  lasdampafzuiging,D10
I097a,DONALDSON olienevelafzuiging  (A067),A22
I097b,DONALDSON olienevelafzuiging  (A068),A26
I097c,DONALDSON olienevelafzuiging (D093),G21
I097d,DONALDSON olienevelafzuiging  (D098),G18
